first_pref,age_group,gender,education,division,state,ALP_supporter
ALP,ages18to29,Male,bachelorDegree,Dunkley,VIC,1
Other,ages18to29,Male,highSchoolorCertIorIIorLess,Sydney,NSW,0
LNP,ages18to29,Female,bachelorDegree,Parramatta,NSW,0
Other,ages45to59,Male,bachelorDegree,Mackellar,NSW,0
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Sturt,SA,0
GRN,ages30to44,Female,postgraduateDegree,Blaxland,NSW,0
Other,ages18to29,Female,highSchoolorCertIorIIorLess,Spence,SA,0
LNP,ages18to29,Male,postgraduateDegree,Corangamite,VIC,0
Unsure,ages60plus,Male,highSchoolorCertIorIIorLess,Barker,SA,0
GRN,ages18to29,Female,bachelorDegree,Swan,WA,0
LNP,ages18to29,Female,bachelorDegree,Goldstein,VIC,0
LNP,ages18to29,Male,bachelorDegree,Deakin,VIC,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Hindmarsh,SA,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,Jagajaga,VIC,0
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Hinkler,QLD,1
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Kingston,SA,0
Other,ages30to44,Female,gradDipDipCertIIIandIV,Maranoa,QLD,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Robertson,NSW,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Tangney,WA,0
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Berowra,NSW,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Gellibrand,VIC,1
ALP,ages18to29,Female,bachelorDegree,Canberra,ACT,1
ALP,ages18to29,Female,gradDipDipCertIIIandIV,Fisher,QLD,1
Unsure,ages45to59,Male,highSchoolorCertIorIIorLess,Dickson,QLD,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Sturt,SA,0
LNP,ages18to29,Female,bachelorDegree,Boothby,SA,0
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Griffith,QLD,0
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Oxley,QLD,0
Unsure,ages18to29,Female,bachelorDegree,Solomon,NT,0
LNP,ages18to29,Female,bachelorDegree,Hume,NSW,0
GRN,ages18to29,Female,postgraduateDegree,Menzies,VIC,0
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Canberra,ACT,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Brand,WA,0
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Brisbane,QLD,1
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Richmond,NSW,1
GRN,ages30to44,Male,bachelorDegree,Wills,VIC,0
ALP,ages30to44,Male,bachelorDegree,Adelaide,SA,1
ALP,ages45to59,Male,bachelorDegree,Parramatta,NSW,1
ALP,ages18to29,Male,postgraduateDegree,Berowra,NSW,1
LNP,ages30to44,Male,bachelorDegree,Stirling,WA,0
ALP,ages30to44,Female,postgraduateDegree,Hume,NSW,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Chisholm,VIC,1
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Brisbane,QLD,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Flinders,VIC,0
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Higgins,VIC,0
LNP,ages18to29,Male,postgraduateDegree,Adelaide,SA,0
LNP,ages45to59,Male,bachelorDegree,Hindmarsh,SA,0
Other,ages45to59,Male,bachelorDegree,Eden-Monaro,NSW,0
Other,ages30to44,Male,bachelorDegree,Melbourne,VIC,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Adelaide,SA,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Fremantle,WA,0
ALP,ages45to59,Female,postgraduateDegree,Higgins,VIC,1
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Shortland,NSW,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,Forde,QLD,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,Swan,WA,0
Other,ages18to29,Female,postgraduateDegree,Cowan,WA,0
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Cooper,VIC,0
Other,ages18to29,Male,gradDipDipCertIIIandIV,Maranoa,QLD,0
ALP,ages45to59,Male,bachelorDegree,Fisher,QLD,1
ALP,ages30to44,Female,bachelorDegree,Brisbane,QLD,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Shortland,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Bass,TAS,1
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,Gippsland,VIC,0
GRN,ages45to59,Male,bachelorDegree,Cunningham,NSW,0
ALP,ages45to59,Female,bachelorDegree,Isaacs,VIC,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Nicholls,VIC,0
ALP,ages30to44,Female,bachelorDegree,Higgins,VIC,1
LNP,ages18to29,Male,gradDipDipCertIIIandIV,Boothby,SA,0
Other,ages45to59,Male,bachelorDegree,Pearce,WA,0
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Ballarat,VIC,0
Other,ages30to44,Female,gradDipDipCertIIIandIV,Tangney,WA,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Brand,WA,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Moore,WA,0
LNP,ages18to29,Male,highSchoolorCertIorIIorLess,Dawson,QLD,0
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Leichhardt,QLD,0
GRN,ages30to44,Male,postgraduateDegree,Wide Bay,QLD,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Hinkler,QLD,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Ballarat,VIC,0
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Braddon,TAS,0
LNP,ages18to29,Male,gradDipDipCertIIIandIV,Mallee,VIC,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Bonner,QLD,0
Other,ages30to44,Male,bachelorDegree,Eden-Monaro,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Wide Bay,QLD,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Hunter,NSW,0
ALP,ages18to29,Male,postgraduateDegree,Tangney,WA,1
Other,ages45to59,Male,bachelorDegree,Moore,WA,0
LNP,ages45to59,Male,postgraduateDegree,Lyons,TAS,0
ALP,ages30to44,Female,bachelorDegree,McEwen,VIC,1
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Nicholls,VIC,1
ALP,ages45to59,Male,postgraduateDegree,Bean,ACT,1
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Eden-Monaro,NSW,0
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Bennelong,NSW,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Cook,NSW,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Lyons,TAS,1
LNP,ages18to29,Male,highSchoolorCertIorIIorLess,Forde,QLD,0
GRN,ages30to44,Female,postgraduateDegree,Lilley,QLD,0
LNP,ages18to29,Female,postgraduateDegree,Aston,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Hunter,NSW,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,Corio,VIC,0
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Gilmore,NSW,0
ALP,ages30to44,Female,postgraduateDegree,Mayo,SA,1
GRN,ages30to44,Female,gradDipDipCertIIIandIV,Burt,WA,0
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Fairfax,QLD,0
Other,ages45to59,Female,highSchoolorCertIorIIorLess,Fisher,QLD,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Lyne,NSW,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Oxley,QLD,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Richmond,NSW,0
LNP,ages60plus,Male,bachelorDegree,Leichhardt,QLD,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Grey,SA,0
Other,ages18to29,Male,postgraduateDegree,Adelaide,SA,0
ALP,ages45to59,Male,bachelorDegree,Wentworth,NSW,1
LNP,ages45to59,Male,bachelorDegree,Blair,QLD,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Mayo,SA,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Brand,WA,1
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Canning,WA,1
LNP,ages18to29,Female,bachelorDegree,Page,NSW,0
LNP,ages30to44,Male,postgraduateDegree,Forde,QLD,0
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Ryan,QLD,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,McEwen,VIC,1
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Corangamite,VIC,0
ALP,ages60plus,Male,gradDipDipCertIIIandIV,Chisholm,VIC,1
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Dunkley,VIC,0
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Chisholm,VIC,1
ALP,ages18to29,Female,gradDipDipCertIIIandIV,Reid,NSW,1
LNP,ages30to44,Male,bachelorDegree,Perth,WA,0
Other,ages30to44,Female,highSchoolorCertIorIIorLess,Maranoa,QLD,0
LNP,ages60plus,Female,gradDipDipCertIIIandIV,Gippsland,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Deakin,VIC,0
LNP,ages45to59,Female,postgraduateDegree,Newcastle,NSW,0
LNP,ages18to29,Male,bachelorDegree,Mallee,VIC,0
GRN,ages45to59,Male,gradDipDipCertIIIandIV,Aston,VIC,0
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Bonner,QLD,1
LNP,ages30to44,Male,postgraduateDegree,Oxley,QLD,0
LNP,ages18to29,Female,highSchoolorCertIorIIorLess,Swan,WA,0
LNP,ages18to29,Male,highSchoolorCertIorIIorLess,Canning,WA,0
GRN,ages18to29,Male,gradDipDipCertIIIandIV,Wannon,VIC,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Brisbane,QLD,0
LNP,ages18to29,Female,gradDipDipCertIIIandIV,McPherson,QLD,0
LNP,ages30to44,Female,bachelorDegree,Griffith,QLD,0
Other,ages18to29,Male,bachelorDegree,Adelaide,SA,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Kennedy,QLD,0
GRN,ages30to44,Female,gradDipDipCertIIIandIV,Clark,TAS,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Gippsland,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Gippsland,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Gippsland,VIC,0
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Longman,QLD,1
ALP,ages45to59,Female,bachelorDegree,Maribyrnong,VIC,1
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Eden-Monaro,NSW,0
ALP,ages18to29,Male,postgraduateDegree,Deakin,VIC,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Fisher,QLD,1
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Makin,SA,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Solomon,NT,1
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Cook,NSW,1
ALP,ages30to44,Female,bachelorDegree,Griffith,QLD,1
GRN,ages18to29,Female,postgraduateDegree,Isaacs,VIC,0
LNP,ages30to44,Female,bachelorDegree,Macarthur,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Petrie,QLD,0
GRN,ages30to44,Female,bachelorDegree,Tangney,WA,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Makin,SA,1
ALP,ages18to29,Female,bachelorDegree,Canberra,ACT,1
LNP,ages30to44,Male,bachelorDegree,Leichhardt,QLD,0
GRN,ages18to29,Female,bachelorDegree,Melbourne,VIC,0
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Banks,NSW,1
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Kingston,SA,1
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Franklin,TAS,0
LNP,ages18to29,Male,postgraduateDegree,North Sydney,NSW,0
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Newcastle,NSW,1
ALP,ages18to29,Male,bachelorDegree,Goldstein,VIC,1
LNP,ages60plus,Male,gradDipDipCertIIIandIV,Stirling,WA,0
Other,ages30to44,Male,bachelorDegree,Moreton,QLD,0
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Canning,WA,0
Unsure,ages45to59,Female,highSchoolorCertIorIIorLess,Oxley,QLD,0
GRN,ages30to44,Female,postgraduateDegree,Griffith,QLD,0
ALP,ages30to44,Female,postgraduateDegree,Higgins,VIC,1
Other,ages30to44,Female,highSchoolorCertIorIIorLess,Page,NSW,0
Other,ages30to44,Female,highSchoolorCertIorIIorLess,Calwell,VIC,0
GRN,ages18to29,Female,bachelorDegree,Moreton,QLD,0
LNP,ages45to59,Male,postgraduateDegree,Mayo,SA,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Hindmarsh,SA,0
ALP,ages30to44,Male,postgraduateDegree,Brisbane,QLD,1
Unsure,ages30to44,Female,highSchoolorCertIorIIorLess,Grey,SA,0
LNP,ages45to59,Female,postgraduateDegree,Adelaide,SA,0
Other,ages18to29,Female,bachelorDegree,Ballarat,VIC,0
ALP,ages18to29,Male,gradDipDipCertIIIandIV,New England,NSW,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Dunkley,VIC,0
LNP,ages18to29,Male,highSchoolorCertIorIIorLess,Casey,VIC,0
LNP,ages18to29,Female,bachelorDegree,Curtin,WA,0
Other,ages18to29,Male,highSchoolorCertIorIIorLess,Griffith,QLD,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Macarthur,NSW,1
ALP,ages30to44,Female,gradDipDipCertIIIandIV,Gilmore,NSW,1
LNP,ages18to29,Female,postgraduateDegree,Brand,WA,0
ALP,ages30to44,Male,postgraduateDegree,Watson,NSW,1
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Chifley,NSW,0
ALP,ages45to59,Female,postgraduateDegree,Hindmarsh,SA,1
Unsure,ages30to44,Male,bachelorDegree,Hindmarsh,SA,0
ALP,ages18to29,Male,bachelorDegree,Perth,WA,1
LNP,ages45to59,Male,bachelorDegree,Kooyong,VIC,0
ALP,ages30to44,Male,postgraduateDegree,Reid,NSW,1
LNP,ages30to44,Female,postgraduateDegree,Deakin,VIC,0
LNP,ages60plus,Male,highSchoolorCertIorIIorLess,Watson,NSW,0
ALP,ages45to59,Male,bachelorDegree,McEwen,VIC,1
ALP,ages45to59,Male,bachelorDegree,Ballarat,VIC,1
LNP,ages30to44,Male,bachelorDegree,Watson,NSW,0
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Menzies,VIC,0
Other,ages18to29,Female,bachelorDegree,Macquarie,NSW,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Bean,ACT,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Riverina,NSW,0
ALP,ages45to59,Female,gradDipDipCertIIIandIV,Dickson,QLD,1
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Leichhardt,QLD,0
LNP,ages45to59,Female,postgraduateDegree,McPherson,QLD,0
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,McEwen,VIC,1
ALP,ages30to44,Female,highSchoolorCertIorIIorLess,Warringah,NSW,1
GRN,ages18to29,Male,highSchoolorCertIorIIorLess,Franklin,TAS,0
LNP,ages60plus,Female,highSchoolorCertIorIIorLess,Kooyong,VIC,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Dunkley,VIC,0
Other,ages18to29,Male,bachelorDegree,Bradfield,NSW,0
Other,ages30to44,Female,highSchoolorCertIorIIorLess,Monash,VIC,0
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Kooyong,VIC,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Kooyong,VIC,0
ALP,ages45to59,Male,bachelorDegree,Mayo,SA,1
GRN,ages30to44,Female,bachelorDegree,Berowra,NSW,0
LNP,ages30to44,Male,bachelorDegree,Newcastle,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Casey,VIC,1
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Fisher,QLD,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Bradfield,NSW,1
ALP,ages18to29,Female,postgraduateDegree,Grayndler,NSW,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Makin,SA,1
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Adelaide,SA,1
ALP,ages18to29,Female,gradDipDipCertIIIandIV,Melbourne,VIC,1
Unsure,ages18to29,Female,postgraduateDegree,Bradfield,NSW,0
ALP,ages30to44,Male,postgraduateDegree,Lyons,TAS,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Ryan,QLD,1
GRN,ages18to29,Female,highSchoolorCertIorIIorLess,Wide Bay,QLD,0
LNP,ages45to59,Female,postgraduateDegree,Hasluck,WA,0
LNP,ages45to59,Male,postgraduateDegree,Perth,WA,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Maribyrnong,VIC,1
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Kingston,SA,0
ALP,ages18to29,Female,bachelorDegree,Kooyong,VIC,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Fowler,NSW,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Kingston,SA,1
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Ballarat,VIC,1
LNP,ages60plus,Male,gradDipDipCertIIIandIV,Warringah,NSW,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Hunter,NSW,0
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Lilley,QLD,0
ALP,ages18to29,Male,highSchoolorCertIorIIorLess,Rankin,QLD,1
ALP,ages18to29,Male,bachelorDegree,Scullin,VIC,1
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Makin,SA,0
GRN,ages30to44,Male,highSchoolorCertIorIIorLess,Wide Bay,QLD,0
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Calare,NSW,0
GRN,ages18to29,Male,gradDipDipCertIIIandIV,North Sydney,NSW,0
LNP,ages30to44,Male,postgraduateDegree,Lilley,QLD,0
LNP,ages45to59,Male,highSchoolorCertIorIIorLess,Bass,TAS,0
GRN,ages30to44,Male,postgraduateDegree,Bradfield,NSW,0
ALP,ages18to29,Female,postgraduateDegree,Clark,TAS,1
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Moreton,QLD,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Melbourne,VIC,1
LNP,ages60plus,Male,postgraduateDegree,Cook,NSW,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,Paterson,NSW,0
Other,ages45to59,Male,highSchoolorCertIorIIorLess,McMahon,NSW,0
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Fenner,ACT,1
LNP,ages18to29,Male,highSchoolorCertIorIIorLess,Sydney,NSW,0
ALP,ages30to44,Female,postgraduateDegree,Kingsford Smith,NSW,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Paterson,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Forde,QLD,1
LNP,ages45to59,Female,gradDipDipCertIIIandIV,Curtin,WA,0
ALP,ages18to29,Female,gradDipDipCertIIIandIV,Greenway,NSW,1
GRN,ages18to29,Female,bachelorDegree,Chisholm,VIC,0
LNP,ages18to29,Male,bachelorDegree,Greenway,NSW,0
GRN,ages30to44,Female,gradDipDipCertIIIandIV,Eden-Monaro,NSW,0
LNP,ages45to59,Female,highSchoolorCertIorIIorLess,Deakin,VIC,0
ALP,ages45to59,Male,highSchoolorCertIorIIorLess,Dobell,NSW,1
Other,ages18to29,Female,highSchoolorCertIorIIorLess,Hindmarsh,SA,0
LNP,ages30to44,Male,gradDipDipCertIIIandIV,Mitchell,NSW,0
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,Pearce,WA,0
ALP,ages30to44,Male,highSchoolorCertIorIIorLess,Ballarat,VIC,1
Other,ages30to44,Female,gradDipDipCertIIIandIV,Makin,SA,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Spence,SA,1
ALP,ages18to29,Female,bachelorDegree,Melbourne,VIC,1
LNP,ages18to29,Female,bachelorDegree,Sydney,NSW,0
Other,ages45to59,Male,gradDipDipCertIIIandIV,Makin,SA,0
ALP,ages18to29,Female,postgraduateDegree,Corangamite,VIC,1
LNP,ages18to29,Female,bachelorDegree,Brisbane,QLD,0
Other,ages45to59,Female,highSchoolorCertIorIIorLess,Braddon,TAS,0
ALP,ages45to59,Male,postgraduateDegree,Hume,NSW,1
LNP,ages30to44,Male,highSchoolorCertIorIIorLess,McMahon,NSW,0
Other,ages45to59,Male,bachelorDegree,Cunningham,NSW,0
Other,ages18to29,Female,postgraduateDegree,Bean,ACT,0
GRN,ages30to44,Male,postgraduateDegree,Page,NSW,0
ALP,ages45to59,Female,highSchoolorCertIorIIorLess,Bendigo,VIC,1
LNP,ages30to44,Female,highSchoolorCertIorIIorLess,Tangney,WA,0
Other,ages30to44,Female,bachelorDegree,Franklin,TAS,0
ALP,ages30to44,Male,gradDipDipCertIIIandIV,Ballarat,VIC,1
ALP,ages18to29,Female,highSchoolorCertIorIIorLess,Bendigo,VIC,1
ALP,ages18to29,Male,postgraduateDegree,Bass,TAS,1
Other,ages18to29,Female,gradDipDipCertIIIandIV,Bass,TAS,0
ALP,ages18to29,Female,bachelorDegree,Holt,VIC,1
LNP,ages30to44,Female,gradDipDipCertIIIandIV,Hume,NSW,0
GRN,ages30to44,Male,bachelorDegree,Robertson,NSW,0
Unsure,ages18to29,Female,highSchoolorCertIorIIorLess,Capricornia,QLD,0
LNP,ages45to59,Male,gradDipDipCertIIIandIV,Bass,TAS,0
Other,ages30to44,Male,highSchoolorCertIorIIorLess,Corangamite,VIC,0
ALP,ages45to59,Male,bachelorDegree,Flinders,VIC,1
ALP,ages45to59,Male,gradDipDipCertIIIandIV,Hunter,NSW,1
GRN,ages18to29,Female,bachelorDegree,Bean,ACT,0
